Functional Category	QC Metric / Concept	DDA	DIA	ID-based	ID-free	Usage / Source Notes	Proposed Tier	Unit	PSI-MS Accession Numbers	
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	Entrapment test validation	DDA	DIA	ID-based	NOT ID-free	FDR validation using known false positives; CHIMERYS workflow	2	percent		
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	Sequence coverage (%)	DDA	DIA	ID-based	NOT ID-free	Protein identification quality metric; requires peptide IDs	2	percent		
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	Missed cleavages (%)	DDA	DIA	ID-based	NOT ID-free	Digestion efficiency QC; requires peptide sequence identification	1	percent	MS:4000141	
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	Fragmentation efficiency / MS2 fill time	DDA	DIA	Partially ID-based	ID-free	Acquisition quality metric; raw ion statistics	2	milliseconds		
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	Fragment ion mass accuracy (ppm)	DDA	DIA	ID-based	Partially ID-free	Search quality metric; calculated from identified fragments	1	ppm	MS:4000140	
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	Spectral utilization rate	DDA	Partially DIA	ID-based	NOT ID-free	DDA efficiency metric; ratio of identified to total spectra	2	percent		
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	Chimeric spectrum deconvolution accuracy	DDA	DIA	ID-based	Partially ID-free	Critical for co-fragmentation (DDA) and multiplexed spectra (DIA)	2	percent		
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	"Spectral quality metrics (signal-to-noise, MS2/MS1 ratio)"	DDA	DIA	Partially ID-based	ID-free	Raw spectral quality assessment; measured pre-ID	1	dimensionless	MS:4000097	
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	Isotopologue R  (linearity metric)	DDA	DIA	ID-based	NOT ID-free	Quantitative validation; requires isotopologue identification	2	dimensionless		
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	Q20 / Q30 sequencing quality	DDA	NOT DIA	ID-based	NOT ID-free	Specific to TMT-based workflows; sequence read quality	3	percent		
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	Enrichment / depletion bias (intensity)	DDA	DIA	ID-based	NOT ID-free	Workflow bias assessment; compares protein class intensities	2	fold_change		
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	Database search completeness / FASTA coverage	DDA	DIA	ID-based	NOT ID-free	Ensures appropriate database selection for identification	2	percent		
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	Internal reference protein validation	DDA	DIA	ID-based	NOT ID-free	Uses known proteins to validate identification pipeline	2	dimensionless		
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	Spectral library validation (library-free vs. library-based)	Partially DDA	DIA	ID-based	NOT ID-free	DIA-specific; compares library vs. library-free search results	2	percent		
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	Cross-platform identification concordance	DDA	DIA	ID-based	NOT ID-free	"Validates IDs across platforms (MS, Olink, SomaScan)"	2	percent		
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	Coefficient of variation of ID counts	DDA	DIA	ID-based	NOT ID-free	Reproducibility of identification depth across runs	2	percent		
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	Cross-cohort reproducibility of IDs	DDA	DIA	ID-based	NOT ID-free	Multi-cohort validation of identified proteins	2	percent		
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	Statistical ID validation (FDR-corrected p-values)	DDA	DIA	ID-based	NOT ID-free	Statistical confidence in differential protein identification	2	dimensionless		
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	ROC-AUC validation for biomarkers	DDA	DIA	ID-based	NOT ID-free	Biomarker performance evaluation; requires identified targets	2	dimensionless		
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	PCA-based clustering of identified proteins	DDA	DIA	ID-based	Partially ID-free	Multivariate QC on protein matrix; visualizes sample grouping	2	dimensionless		
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	Outlier detection based on ID metrics	DDA	DIA	ID-based	NOT ID-free	Flags samples with aberrant ID counts or patterns	1	dimensionless		
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	Replicate overlap / identification reproducibility	DDA	DIA	ID-based	NOT ID-free	Measures consistency of IDs across technical/biological replicates	2	percent		
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	Protein-level consistency (biological validation)	DDA	DIA	ID-based	NOT ID-free	"Validates identified proteins via orthogonal methods (WB, ELISA)"	2	percent		
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	Meta-analysis reproducibility of ID directionality	DDA	DIA	ID-based	NOT ID-free	Multi-cohort consistency of up/down-regulation direction	2	percent		
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	"Protein physicochemical properties (MW, pI, GRAVY)"	DDA	DIA	ID-based	NOT ID-free	Distribution checks for identification quality and artifact detection	2	dimensionless		
BATCH EFFECT & DRIFT DETECTION	Batch effect correction (ComBat / PCA-based)	DDA	DIA	ID-based	Partially ID-free	Standard cohort QC; applied to identified protein intensities	2	dimensionless		
BATCH EFFECT & DRIFT DETECTION	Batch correction consistency	DDA	DIA	ID-based	Partially ID-free	Validates effectiveness of batch correction algorithms	2	dimensionless		
BATCH EFFECT & DRIFT DETECTION	PCA-N neutralization QC workflow	DDA	DIA	ID-based	Partially ID-free	PCA-N workflow-specific; plasma proteomics batch correction	3	dimensionless		
BATCH EFFECT & DRIFT DETECTION	"Drift detection (AutoQC, QCLOUD2, QuiC)"	DDA	DIA	Partially ID-based	ID-free	Automated monitoring tools; track raw instrument performance	1	dimensionless		
BATCH EFFECT & DRIFT DETECTION	Sensitivity drift (peptide intensity over time)	DDA	DIA	ID-based	Partially ID-free	Longitudinal tracking of identified peptide intensities	2	percent		
BATCH EFFECT & DRIFT DETECTION	Real-time drift tracking (cloud-based QC)	DDA	DIA	Partially ID-based	ID-free	MSAID platform; monitors metrics in real-time during acquisition	2	dimensionless		
BATCH EFFECT & DRIFT DETECTION	Outlier detection (low-quality runs)	DDA	DIA	ID-based	ID-free	Flags failed or aberrant runs using ID and raw metrics	1	dimensionless		
BATCH EFFECT & DRIFT DETECTION	Long-term QC monitoring (hundreds thousands of runs)	DDA	DIA	ID-based	ID-free	"Multi-site, longitudinal QC programs; tracks both metric types"	2	dimensionless		
BATCH EFFECT & DRIFT DETECTION	Cross-site drift and reproducibility analysis	DDA	DIA	ID-based	ID-free	Multi-center harmonization; compares performance across sites	2	percent		
BATCH EFFECT & DRIFT DETECTION	Internal standard based normalization	DDA	DIA	ID-based	Partially ID-free	Spiked standards for drift correction; normalizes to identified peptides	2	dimensionless		
BATCH EFFECT & DRIFT DETECTION	QC pool based drift monitoring	DDA	DIA	ID-based	ID-free	Pooled QCs interspersed throughout batch; monitors both metrics	1	percent		
BATCH EFFECT & DRIFT DETECTION	Median / quantile normalization	DDA	DIA	ID-based	Partially ID-free	Standard normalization on identified protein intensities	2	dimensionless		
BATCH EFFECT & DRIFT DETECTION	Cross-platform normalization / drift validation	DDA	DIA	ID-based	Partially ID-free	Harmonizes data across MS platforms and immunoassays	2	dimensionless		
BATCH EFFECT & DRIFT DETECTION	Instrument drift tracking via RT and TIC	DDA	DIA	NOT ID_based	ID-free	Raw metrics for instrument performance monitoring	1	dimensionless		
BATCH EFFECT & DRIFT DETECTION	Spectral intensity drift (MS1/MS2 level)	DDA	DIA	Partially ID-based	ID-free	Tracks raw signal intensity changes over time	2	percent		
BATCH EFFECT & DRIFT DETECTION	Correlation-based batch validation (Pearson r)	DDA	DIA	ID-based	Partially ID-free	Correlates protein abundances across batches; validates reproducibility	2	dimensionless		
BATCH EFFECT & DRIFT DETECTION	Longitudinal variance control (RSD thresholds)	DDA	DIA	ID-based	Partially ID-free	Sets acceptable variation limits for longitudinal studies	2	percent		
BATCH EFFECT & DRIFT DETECTION	Feature-level normalization (local or global)	DDA	DIA	ID-based	Partially ID-free	Normalizes protein/peptide intensities within or across batches	2	dimensionless		
BATCH EFFECT & DRIFT DETECTION	PCA-based clustering stability (batch monitoring)	DDA	DIA	ID-based	Partially ID-free	Visualizes batch effects via PCA; ensures samples cluster by biology not batch	2	dimensionless		
BATCH EFFECT & DRIFT DETECTION	Replicate correlation (inter-batch reproducibility)	DDA	DIA	ID-based	Partially ID-free	Measures consistency of replicates across different batches	2	dimensionless		
BATCH EFFECT & DRIFT DETECTION	Standard-based cross-instrument drift evaluation	DDA	DIA	ID-based	ID-free	Uses standard samples to compare performance across instruments	2	percent		
BATCH EFFECT & DRIFT DETECTION	Cross-cohort drift detection and correction	DDA	DIA	ID-based	Partially ID-free	Harmonizes data across multiple cohorts or studies	2	dimensionless		
BATCH EFFECT & DRIFT DETECTION	Normalization validation (Quantro / Qsmooth)	DDA	DIA	ID-based	Partially ID-free	Statistical validation of normalization method suitability	2	dimensionless		
BATCH EFFECT & DRIFT DETECTION	Cross-run reproducibility of QC metrics	DDA	DIA	ID-based	ID-free	Tracks consistency of QC measurements across all runs	2	percent		
BATCH EFFECT & DRIFT DETECTION	Shewhart / Westgard control charts	DDA	DIA	ID-based	ID-free	Statistical process control for QC monitoring over time	2	dimensionless		
BATCH EFFECT & DRIFT DETECTION	Hotelling T  outlier detection	DDA	DIA	ID-based	Partially ID-free	Multivariate outlier detection in QC sample space	2	dimensionless		
BATCH EFFECT & DRIFT DETECTION	DModX (OPLS-DA distance to model)	DDA	DIA	ID-based	Partially ID-free	Model-based outlier detection and drift assessment	2	dimensionless		
INSTRUMENT PERFORMANCE / SYSTEM SUITABILITY	Mass accuracy	DDA	DIA	Partially ID-based	ID-free	Measured from raw spectra; critical for both acquisition modes	1	ppm	MS:4000019	
INSTRUMENT PERFORMANCE / SYSTEM SUITABILITY	MS1 / MS2 signal intensity	DDA	DIA	NOT ID_based	ID-free	Raw signal measurement; instrument sensitivity metric	1	arbitrary_units	MS:4000103 (MS1 signal intensity)	
INSTRUMENT PERFORMANCE / SYSTEM SUITABILITY	Base peak intensity (BPI)	DDA	DIA	NOT ID_based	ID-free	Raw chromatographic metric; acquisition quality indicator	1	arbitrary_units	MS:4000105	
INSTRUMENT PERFORMANCE / SYSTEM SUITABILITY	MS2/MS1 spectral ratio	DDA	DIA	NOT ID_based	ID-free	Acquisition-level metric; duty cycle and fragmentation efficiency	2	dimensionless		
INSTRUMENT PERFORMANCE / SYSTEM SUITABILITY	Total Ion Current (TIC)	DDA	DIA	NOT ID_based	ID-free	Standard QC metric; raw signal independent of IDs	1	arbitrary_units	MS:4000104	
INSTRUMENT PERFORMANCE / SYSTEM SUITABILITY	LC pressure / flow stability	DDA	DIA	NOT ID_based	ID-free	Direct instrument measurement; system suitability check	1	bar		
INSTRUMENT PERFORMANCE / SYSTEM SUITABILITY	Whole-proteome digest standard	DDA	DIA	ID-based	Partially ID-free	Standard sample for system suitability; assesses IDs and raw performance	1	dimensionless		
INSTRUMENT PERFORMANCE / SYSTEM SUITABILITY	Ion injection time	DDA	DIA	NOT ID_based	ID-free	Instrument acquisition parameter; AGC-related QC	2	milliseconds		
INSTRUMENT PERFORMANCE / SYSTEM SUITABILITY	Fragmentation efficiency	DDA	DIA	Partially ID-based	ID-free	MS2 quality metric; can be assessed pre- or post-ID	2	percent		
INSTRUMENT PERFORMANCE / SYSTEM SUITABILITY	Signal-to-noise ratio	DDA	DIA	Partially ID-based	ID-free	Raw spectral quality; calculated from spectra	1	dimensionless	MS:4000097	
INSTRUMENT PERFORMANCE / SYSTEM SUITABILITY	Dynamic range / detector linearity	DDA	DIA	Partially ID-based	ID-free	Instrument performance characteristic; assessed via dilution series	2	dimensionless		
INSTRUMENT PERFORMANCE / SYSTEM SUITABILITY	Calibration verification (Preview or internal standard)	DDA	DIA	NOT ID_based	ID-free	Pre-search instrument QC; validates mass calibration	2	dimensionless		
INSTRUMENT PERFORMANCE / SYSTEM SUITABILITY	MS resolution and acquisition settings	DDA	DIA	NOT ID_based	ID-free	Instrument parameter documentation and validation	2	dimensionless		
INSTRUMENT PERFORMANCE / SYSTEM SUITABILITY	MS sensitivity drift	DDA	DIA	Partially ID-based	ID-free	Longitudinal tracking of instrument sensitivity	2	percent		
INSTRUMENT PERFORMANCE / SYSTEM SUITABILITY	Retention time calibration peptides (system suitability)	DDA	DIA	Partially ID-based	ID-free	LC system check; monitors RT stability of known peptides	1	minutes		
INSTRUMENT PERFORMANCE / SYSTEM SUITABILITY	QC standard-based performance report	DDA	DIA	ID-based	ID-free	Comprehensive QC using standard samples; tracks all metrics	1	dimensionless		
INSTRUMENT PERFORMANCE / SYSTEM SUITABILITY	Cross-instrument reproducibility (multi-site)	DDA	DIA	ID-based	ID-free	Multi-site studies; validates performance across instruments	2	percent		
INSTRUMENT PERFORMANCE / SYSTEM SUITABILITY	Internal QC standards / spiked controls	DDA	DIA	ID-based	Partially ID-free	Spiked peptides/proteins for internal normalization and QC	2	dimensionless		
INSTRUMENT PERFORMANCE / SYSTEM SUITABILITY	MS acquisition method reproducibility	DDA	DIA	Partially ID-based	ID-free	Validates consistency of acquisition parameters across runs	2	percent		
INSTRUMENT PERFORMANCE / SYSTEM SUITABILITY	Detector health tracking (AutoQC / QCLOUD2)	DDA	DIA	Partially ID-based	ID-free	Automated monitoring of detector performance over time	2	dimensionless		
INSTRUMENT PERFORMANCE / SYSTEM SUITABILITY	Instrument reproducibility via peptide standards	DDA	DIA	ID-based	Partially ID-free	Standard peptide mixtures to validate instrument performance	1	percent		
INSTRUMENT PERFORMANCE / SYSTEM SUITABILITY	QC signal normalization to standard	DDA	DIA	ID-based	Partially ID-free	Normalizes sample signals to internal or external standards	2	dimensionless		
INSTRUMENT PERFORMANCE / SYSTEM SUITABILITY	LC MS system suitability validation (daily check)	DDA	DIA	Partially ID-based	ID-free	Daily QC run before sample analysis; ensures system readiness	1	dimensionless		
INSTRUMENT PERFORMANCE / SYSTEM SUITABILITY	"Longitudinal QC metric tracking (MS1, MS2)"	DDA	DIA	Partially ID-based	ID-free	Long-term monitoring of MS1/MS2 signal quality	2	dimensionless		
INSTRUMENT PERFORMANCE / SYSTEM SUITABILITY	FAIMS tuning and optimization	DDA	DIA	NOT ID_based	ID-free	High-field asymmetric waveform ion mobility spectrometry QC	3	volts		
INTEGRATED / FRAMEWORK-LEVEL QC SYSTEMS	MSCohort QC Scoring System	NOT DDA	DIA	ID-based	Partially ID-free	DIA-specific comprehensive QC scoring framework (81 metrics)	2	dimensionless		
INTEGRATED / FRAMEWORK-LEVEL QC SYSTEMS	CLSI C64 QC Framework	DDA	DIA	ID-based	ID-free	Clinical proteomics QC guideline; applicable to both acquisition modes	2	dimensionless		
INTEGRATED / FRAMEWORK-LEVEL QC SYSTEMS	PCA-N Workflow	DDA	DIA	ID-based	Partially ID-free	Perchloric acid workflow with neutralization for plasma proteomics QC	3	dimensionless		
INTEGRATED / FRAMEWORK-LEVEL QC SYSTEMS	AutoQC / QCLOUD2 / QuiC Monitoring	DDA	DIA	Partially ID-based	ID-free	Automated QC tracking tools for instrument stability monitoring	2	dimensionless		
INTEGRATED / FRAMEWORK-LEVEL QC SYSTEMS	Longitudinal harmonization reports	DDA	DIA	ID-based	ID-free	"Multi-year, multi-site QC reporting systems"	2	dimensionless		
INTEGRATED / FRAMEWORK-LEVEL QC SYSTEMS	GNPC / Olink / SomaScan platform QC	NOT DDA	NOT DIA	ID-based	Partially ID-free	QC frameworks for targeted proteomics and immunoassay platforms	3	dimensionless		
INTEGRATED / FRAMEWORK-LEVEL QC SYSTEMS	MetWare QC Framework (multi-omics)	DDA	DIA	ID-based	Partially ID-free	Multi-omics QC pipeline for integrated proteomics/metabolomics	3	dimensionless		
INTEGRATED / FRAMEWORK-LEVEL QC SYSTEMS	Spectronaut QC Engine	NOT DDA	DIA	ID-based	Partially ID-free	DIA-specific search engine with integrated QC metrics	2	dimensionless		
INTEGRATED / FRAMEWORK-LEVEL QC SYSTEMS	MSAID Deterministic Processing Validation	DDA	DIA	ID-based	NOT ID-free	Ensures reproducible reprocessing with identical results (R=1.00)	2	dimensionless		
INTEGRATED / FRAMEWORK-LEVEL QC SYSTEMS	mzQC Data Reporting Standard	DDA	DIA	ID-based	ID-free	Standardized format for structured QC reporting in proteomics	1	dimensionless		
INTEGRATED / FRAMEWORK-LEVEL QC SYSTEMS	Cross-site / multi-instrument QC coordination	DDA	DIA	ID-based	ID-free	Harmonization of QC practices across multiple facilities	2	dimensionless		
INTEGRATED / FRAMEWORK-LEVEL QC SYSTEMS	Comprehensive web-based QC integration (MSAID)	DDA	DIA	ID-based	Partially ID-free	Interactive QC visualization and data exploration platform	2	dimensionless		
INTEGRATED / FRAMEWORK-LEVEL QC SYSTEMS	QC pool based automated drift assessment	DDA	DIA	ID-based	ID-free	Automated monitoring using interspersed pooled QC samples	1	dimensionless		
INTEGRATED / FRAMEWORK-LEVEL QC SYSTEMS	QC scoring and visualization dashboard (QCeltis / MSAID)	Partially DDA	DIA	ID-based	ID-free	Comprehensive QC visualization and scoring interfaces	2	dimensionless		
INTEGRATED / FRAMEWORK-LEVEL QC SYSTEMS	QComics standardized QC protocol	DDA	DIA	ID-based	ID-free	Metabolomics-focused QC guidelines adaptable to proteomics	2	dimensionless		
QUANTIFICATION PRECISION & REPRODUCIBILITY	Coefficient of Variation (CV%)	DDA	DIA	ID-based	Partially ID-free	Universal reproducibility metric; typically on identified proteins	1	percent		
QUANTIFICATION PRECISION & REPRODUCIBILITY	Relative Standard Deviation (RSD%)	DDA	DIA	ID-based	Partially ID-free	Precision metric for quantitative reproducibility	1	percent		
QUANTIFICATION PRECISION & REPRODUCIBILITY	Pearson correlation (inter-run / inter-replicate)	DDA	DIA	ID-based	Partially ID-free	Correlates protein profiles across replicates or runs	1	dimensionless		
QUANTIFICATION PRECISION & REPRODUCIBILITY	Quantitative reproducibility (protein / precursor level)	DDA	DIA	ID-based	NOT ID-free	Consistency of protein/precursor quantification across replicates	1	percent		
QUANTIFICATION PRECISION & REPRODUCIBILITY	Number / % of missing values	DDA	DIA	ID-based	NOT ID-free	Data completeness metric; important for DIA especially	1	percent		
QUANTIFICATION PRECISION & REPRODUCIBILITY	Missing value imputation QC (downshifted mean / SD)	DDA	DIA	ID-based	NOT ID-free	Handles missing protein values in quantitative matrix	2	dimensionless		
QUANTIFICATION PRECISION & REPRODUCIBILITY	PCA / t-SNE clustering reproducibility	DDA	DIA	ID-based	Partially ID-free	Multivariate visualization of sample reproducibility and grouping	2	dimensionless		
QUANTIFICATION PRECISION & REPRODUCIBILITY	Quantitative linearity (R  of dilution curves / isotopologue response)	DDA	DIA	ID-based	Partially ID-free	Validates linear response of quantification over dynamic range	2	dimensionless		
QUANTIFICATION PRECISION & REPRODUCIBILITY	Long-term QC monitoring (temporal drift tracking)	DDA	DIA	ID-based	ID-free	Tracks quantitative stability over extended time periods	2	percent		
QUANTIFICATION PRECISION & REPRODUCIBILITY	Weekly / periodic performance reporting	DDA	DIA	ID-based	ID-free	Regular QC summaries for ongoing monitoring	2	dimensionless		
QUANTIFICATION PRECISION & REPRODUCIBILITY	Cross-platform reproducibility (Olink ? SomaScan ? MS)	DDA	DIA	ID-based	NOT ID-free	Validates protein quantification across orthogonal platforms	2	dimensionless		
QUANTIFICATION PRECISION & REPRODUCIBILITY	"Biological replicate correlation (r, R )"	DDA	DIA	ID-based	Partially ID-free	Assesses biological variability vs technical reproducibility	2	dimensionless		
QUANTIFICATION PRECISION & REPRODUCIBILITY	Technical replicate reproducibility (intra-run QC)	DDA	DIA	ID-based	ID-free	Standard practice; multiple injections of same sample	1	percent		
QUANTIFICATION PRECISION & REPRODUCIBILITY	CV threshold filtering (CV% < 20%)	DDA	DIA	ID-based	Partially ID-free	Removes low-quality quantifications before downstream analysis	2	percent		
QUANTIFICATION PRECISION & REPRODUCIBILITY	Quantitative normalization reproducibility (pre/post)	DDA	DIA	ID-based	Partially ID-free	Validates effectiveness of normalization procedures	2	percent		
QUANTIFICATION PRECISION & REPRODUCIBILITY	Replicate overlap / intersection reproducibility (%)	DDA	DIA	ID-based	NOT ID-free	Percentage of proteins detected consistently across replicates	2	percent		
QUANTIFICATION PRECISION & REPRODUCIBILITY	R  between predicted vs. observed (model stability)	DDA	DIA	ID-based	NOT ID-free	Validates predictive models built on proteomic data	2	dimensionless		
QUANTIFICATION PRECISION & REPRODUCIBILITY	Inter-lab reproducibility (multi-site correlation)	DDA	DIA	ID-based	ID-free	Cross-laboratory harmonization and consistency validation	2	dimensionless		
QUANTIFICATION PRECISION & REPRODUCIBILITY	Signal drift correction (normalized intensity over time)	DDA	DIA	ID-based	Partially ID-free	Corrects for time-dependent intensity drift in batch runs	2	dimensionless		
QUANTIFICATION PRECISION & REPRODUCIBILITY	"QC pooled sample reproducibility (RSD, CV%)"	DDA	DIA	ID-based	ID-free	Uses pooled QCs to monitor reproducibility throughout batch	1	percent		
